Date,High,Low,Open,Close,Volume,std,trend,ema_trend
2018-01-02,181.5800018310547,177.5500030517578,177.67999267578125,181.4199981689453,18151900,0.0,0.5,0.0
2018-01-03,184.77999877929688,181.3300018310547,181.8800048828125,184.6699981689453,16886600,0.0,1.0,0.0
2018-01-04,186.2100067138672,184.10000610351562,184.89999389648438,184.3300018310547,13880900,0.0,0.0,0.0
2018-01-05,186.89999389648438,184.92999267578125,185.58999633789062,186.85000610351562,13574500,0.0,1.0,0.0
2018-01-08,188.89999389648438,186.3300018310547,187.1999969482422,188.27999877929688,17994700,0.0,1.0,0.0
2018-01-09,188.8000030517578,187.10000610351562,188.6999969482422,187.8699951171875,12393100,0.0,0.0,0.0
2018-01-10,187.88999938964844,185.6300048828125,186.94000244140625,187.83999633789062,10529900,0.0,0.0,0.0
2018-01-11,188.39999389648438,187.3800048828125,188.39999389648438,187.77000427246094,9588600,0.0,0.0,0.0
2018-01-12,181.47999572753906,177.39999389648438,178.05999755859375,179.3699951171875,77551300,0.0,0.0,0.0
2018-01-16,181.75,178.0399932861328,181.5,178.38999938964844,36183800,3.7400111411134715,0.0,0.35
2018-01-17,179.32000732421875,175.8000030517578,179.25999450683594,177.60000610351562,27992400,4.267720867227777,0.5,0.35
2018-01-18,180.97999572753906,177.0800018310547,178.1300048828125,179.8000030517578,23304900,4.492378019965548,0.5,0.3
2018-01-19,182.3699951171875,180.1699981689453,180.85000610351562,181.2899932861328,26826500,4.555692567396552,0.5,0.35
2018-01-22,185.38999938964844,180.41000366210938,180.8000030517578,185.3699951171875,21059500,4.457977492585773,1.0,0.35
2018-01-23,189.5500030517578,185.5500030517578,186.0500030517578,189.35000610351562,25678800,4.599826643918795,1.0,0.35
2018-01-24,190.66000366210938,186.52000427246094,189.88999938964844,186.5500030517578,24334500,4.476663796440607,0.0,0.35
2018-01-25,188.6199951171875,186.60000610351562,187.9499969482422,187.47999572753906,17377700,4.437670389587772,0.5,0.4
2018-01-26,190.0,186.80999755859375,187.75,190.0,17759200,4.733584729465328,1.0,0.5
2018-01-29,188.83999633789062,185.6300048828125,188.75,185.97999572753906,20453200,4.547542085797901,0.0,0.5
2018-01-30,188.17999267578125,181.83999633789062,187.6199951171875,187.1199951171875,20858600,4.131208824317865,0.5,0.55
2018-01-31,189.8300018310547,185.22000122070312,188.3699951171875,186.88999938964844,43275100,3.210753820276412,0.5,0.55
2018-02-01,195.32000732421875,187.88999938964844,188.22000122070312,193.08999633789062,54211300,3.1162308085775154,1.0,0.6
2018-02-02,194.2100067138672,189.97999572753906,192.0399932861328,190.27999877929688,26677500,2.400474913680974,0.0,0.55
2018-02-05,190.61000061035156,180.61000061035156,186.92999267578125,181.25999450683594,33128200,3.16958574895857,0.0,0.45
2018-02-06,185.77000427246094,177.74000549316406,178.57000732421875,185.30999755859375,37758500,3.2073159145902155,1.0,0.45
2018-02-07,185.0800018310547,179.9499969482422,184.14999389648438,180.17999267578125,27601900,3.9423511837708505,0.0,0.45
